code_insee;prixm2;annee
80618;1327;2017
80099;1410;2017
80163;1282;2017
80825;1464;2017
80051;1514;2017
80385;1634;2017
80446;1165;2017
80512;1358;2017
80268;1611;2017
80262;1561;2017
80779;1337;2017
80780;1098;2017
80146;1515;2017
80182;1724;2017
80721;2546;2017
80019;1551;2017
80372;1300;2017
80196;1602;2017
80482;1634;2017
80001;1414;2017
80135;1321;2017
55329;559;2017
80736;1334;2017
80260;1349;2017
80783;;2017
80836;1145;2017
80078;1227;2017
80476;1118;2017
80205;1572;2017
80171;1268;2017
80588;810;2017
80282;1310;2017
80328;1197;2017
80406;1220;2017
80488;1292;2017
62742;1981;2017
62233;1344;2017
62207;1389;2017
62015;;2017
62318;1593;2017
55303;574;2017
55196;;2017
62866;1406;2017
62261;2737;2017
62196;1444;2017
62870;1390;2017
62826;4481;2017
55288;1106;2017
62315;1327;2017
62849;1774;2017
62496;2010;2017
62499;1702;2017
62201;2290;2017
62044;1719;2017
55412;;2017
55530;;2017
62554;;2017
62124;1167;2017
55586;608;2017
62698;2163;2017
77220;1557;2017
76362;1099;2017
62681;1555;2017
62610;1307;2017
62241;1027;2017
62472;1957;2017
62206;1518;2017
62799;1580;2017
62460;2279;2017
62116;1560;2017
62390;1606;2017
40295;1505;2017
62752;1703;2017
55312;;2017
55278;;2017
55520;1094;2017
67055;;2017
62688;1677;2017
62231;1296;2017
62571;2525;2017
62108;2048;2017
62887;1325;2017
62815;1474;2017
62588;1913;2017
62094;1335;2017
55386;;2017
55274;622;2017
67208;;2017
62602;1681;2017
62176;1294;2017
62016;1476;2017
62832;1825;2017
58288;;2017
58309;1172;2017
58190;1415;2017
58128;;2017
67311;;2017
62535;1527;2017
62354;1261;2017
67426;;2017
62527;1102;2017
71223;1108;2017
54593;1163;2017
71472;1193;2017
62585;1698;2017
62312;1023;2017
71251;981;2017
62289;1536;2017
60461;1326;2017
60230;1583;2017
60251;1706;2017
60530;;2017
60029;1648;2017
60030;1726;2017
54453;757;2017
60703;1633;2017
60639;1859;2017
60576;1068;2017
60559;1821;2017
60454;1874;2017
60057;1785;2017
60264;1301;2017
60609;2091;2017
60428;1674;2017
60009;1653;2017
60310;2290;2017
60700;1769;2017
60290;2602;2017
60081;1517;2017
60591;1445;2017
57472;;2017
57416;;2017
60583;2182;2017
60523;1415;2017
60542;1522;2017
60302;1614;2017
60041;1714;2017
60250;1572;2017
60646;1495;2017
60355;1715;2017
60628;1715;2017
60313;1695;2017
60663;1415;2017
60063;1785;2017
60277;2230;2017
60103;1776;2017
60586;1603;2017
60328;;2017
60403;1508;2017
57616;;2017
60366;1595;2017
62540;1660;2017
60243;2083;2017
60376;1553;2017
60339;1749;2017
60668;1391;2017
57751;;2017
60490;1432;2017
57676;;2017
62232;942;2017
62457;1358;2017
62727;1292;2017
62377;1042;2017
62023;1129;2017
62217;1197;2017
62632;622;2017
62376;1442;2017
62304;1268;2017
62053;892;2017
62087;1205;2017
62543;1234;2017
62713;1214;2017
62314;842;2017
62456;1617;2017
62479;1226;2017
62178;1215;2017
62218;;2017
62772;1457;2017
62622;1104;2017
57715;;2017
62792;1258;2017
62819;1232;2017
62423;1396;2017
62403;1188;2017
62525;1521;2017
62458;1069;2017
62067;1111;2017
62757;1540;2017
62297;1027;2017
62471;1538;2017
57605;;2017
62902;1278;2017
62904;1244;2017
62765;1428;2017
62606;1793;2017
62529;1498;2017
62569;1122;2017
62760;914;2017
62618;1492;2017
62567;1144;2017
62265;971;2017
62811;955;2017
62592;1008;2017
62077;1332;2017
62269;1292;2017
62028;983;2017
62205;1293;2017
62701;1293;2017
62014;1265;2017
57354;;2017
62139;1231;2017
62391;1201;2017
62407;1097;2017
62500;2459;2017
62313;1199;2017
58219;1541;2017
62750;1297;2017
62721;1192;2017
62029;1014;2017
62900;993;2017
62885;1334;2017
71440;894;2017
27100;1432;2017
62516;1145;2017
62224;1131;2017
62508;1081;2017
2389;1734;2017
62770;1177;2017
62190;1268;2017
62452;1375;2017
62901;1278;2017
62141;1101;2017
62225;949;2017
62162;954;2017
62642;1168;2017
67433;;2017
62366;1629;2017
62693;1146;2017
62328;816;2017
62489;1317;2017
62555;1288;2017
62197;1303;2017
62443;1385;2017
62262;1322;2017
62288;1124;2017
62327;1438;2017
62035;1386;2017
62509;813;2017
62195;1026;2017
62188;1035;2017
62875;1453;2017
62252;1429;2017
62286;1960;2017
62517;953;2017
71313;729;2017
62486;1299;2017
62720;1000;2017
62564;1526;2017
62040;1373;2017
62532;1460;2017
62049;901;2017
62473;1146;2017
62691;884;2017
62400;1219;2017
62295;1242;2017
62254;881;2017
62595;1453;2017
62270;1087;2017
62349;1441;2017
62441;1250;2017
62684;1395;2017
62747;795;2017
62132;1576;2017
62584;1279;2017
62676;866;2017
62841;1412;2017
62812;1124;2017
62827;1130;2017
62325;1061;2017
62704;1137;2017
62485;832;2017
62153;2172;2017
62696;888;2017
62267;1026;2017
62095;919;2017
62048;968;2017
62194;1062;2017
62120;1554;2017
57652;;2017
62620;1008;2017
62401;1450;2017
62336;942;2017
62512;694;2017
62848;1296;2017
62735;1238;2017
62846;1402;2017
62034;1362;2017
76457;1454;2017
58199;;2017
71500;810;2017
54090;1712;2017
57349;;2017
62051;1448;2017
62863;1594;2017
54126;1462;2017
62520;1186;2017
54276;1157;2017
62373;1273;2017
62356;1383;2017
62617;1247;2017
62847;1446;2017
54569;;2017
60551;;2017
62350;1203;2017
62445;1260;2017
57146;;2017
62480;1532;2017
62278;1109;2017
2659;1584;2017
76368;1100;2017
62200;1417;2017
62626;1554;2017
62836;1143;2017
57656;;2017
57392;;2017
62083;1302;2017
62276;1496;2017
62330;1437;2017
62454;1514;2017
62119;1338;2017
33042;1787;2017
62310;1334;2017
62126;1471;2017
62706;1600;2017
62851;1564;2017
60684;1945;2017
60175;1613;2017
60391;1983;2017
59648;1977;2017
60584;2558;2017
60635;2099;2017
60589;2569;2017
60173;1814;2017
60414;1818;2017
60601;1853;2017
60463;1723;2017
59405;876;2017
59176;1090;2017
59097;1546;2017
2571;1326;2017
2359;1832;2017
2303;1302;2017
2420;1275;2017
2459;;2017
40169;1459;2017
57212;;2017
40149;1400;2017
2691;1124;2017
2319;1090;2017
2340;1287;2017
2637;1133;2017
2288;1143;2017
2371;1195;2017
2752;1033;2017
2694;1128;2017
33030;1654;2017
2199;1026;2017
33536;1259;2017
57037;;2017
57487;;2017
88024;;2017
2504;1126;2017
57147;;2017
2481;1686;2017
57351;;2017
2310;930;2017
40167;1140;2017
76042;;2017
2525;1213;2017
2322;1428;2017
40053;1505;2017
33327;1739;2017
33310;1480;2017
71014;1048;2017
2193;1018;2017
2549;1482;2017
2246;1032;2017
2710;1057;2017
2367;1328;2017
2117;;2017
2383;1317;2017
2320;1262;2017
2019;1007;2017
2025;822;2017
2726;840;2017
2428;954;2017
2257;1293;2017
2570;1222;2017
2815;665;2017
2032;;2017
2273;950;2017
2142;875;2017
2214;;2017
2315;1179;2017
2397;1163;2017
2137;;2017
2744;642;2017
2411;888;2017
2796;1090;2017
2509;;2017
2062;653;2017
2724;;2017
2543;1215;2017
42220;1635;2017
33197;1134;2017
2662;1129;2017
2351;1352;2017
57036;;2017
2748;961;2017
2053;1133;2017
2655;531;2017
76572;1016;2017
2271;;2017
2649;912;2017
2220;1113;2017
2809;1833;2017
2794;1033;2017
33349;1863;2017
2125;1251;2017
2339;1385;2017
2375;1644;2017
2225;1061;2017
2185;1109;2017
2679;1093;2017
2512;1422;2017
2292;1444;2017
2510;805;2017
58301;745;2017
2458;1172;2017
2187;1698;2017
2105;;2017
58169;;2017
71024;1136;2017
2332;801;2017
2168;1649;2017
54060;1455;2017
2114;1660;2017
2645;516;2017
58023;817;2017
2099;1206;2017
54430;1339;2017
2085;1228;2017
58153;533;2017
58271;619;2017
80784;1311;2017
2297;2125;2017
58099;;2017
67185;;2017
58197;721;2017
2524;1205;2017
2228;621;2017
2484;844;2017
21703;;2017
33077;1729;2017
2595;;2017
58083;918;2017
2023;;2017
2209;1075;2017
58080;865;2017
2042;1240;2017
40060;942;2017
2098;1415;2017
2146;1604;2017
2223;1380;2017
33436;1312;2017
67149;;2017
2166;1130;2017
58017;762;2017
